Instance,# nodes,vCap,Provided CWS Sol,GAP BSK-CWS (%),Best-known Sol.,GAP OBS-CWS,GAP OBS-BKS,My Best Sol.,# routes (MBS), Time (s)
A-n32-k5,32,100,843.69,7.09,787.81,0.00,7.09,843.69,5,0.001
A-n38-k5,38,100,768.14,4.63,734.18,0.00,4.62,768.13,6,0.001
A-n45-k7,45,100,1199.98,4.59,1147.28,0.00,4.59,1199.98,7,0.001
A-n55-k9,55,100,1099.84,2.36,1074.46,0.00,2.36,1099.84,9,0.002
A-n60-k9,60,100,1421.88,4.87,1355.8,0.00,4.87,1421.88,9,0.002
A-n61-k9,61,100,1102.23,6.08,1039.08,0.00,6.08,1102.23,10,0.002
A-n65-k9,65,100,1239.42,4.89,1181.69,-2.90,1.84,1203.42,9,0.002
A-n80-k10,80,100,1860.94,5.35,1766.5,0.00,5.35,1860.94,10,0.003
B-n50-k7,50,100,748.8,0.54,744.78,0.00,0.54,748.8,7,0.001
B-n52-k7,52,100,764.9,1.98,750.08,0.00,1.98,764.9,7,0.001
B-n57-k9,57,100,1653.42,3.1,1603.63,0.00,3.10,1653.42,9,0.002
B-n78-k10,78,100,1264.56,2.87,1229.27,0.00,2.87,1264.56,10,0.003
E-n22-k4,22,6000,388.77,3.59,375.28,0.00,3.59,388.77,4,0
E-n30-k3,30,4500,534.45,-0.25,535.8,-8.68,-8.91,488.06,3,0.001
E-n33-k4,33,8000,843.1,0.52,838.72,0.00,0.52,843.1,4,0.001
E-n51-k5,51,160,584.64,11.37,524.94,0.00,11.37,584.64,6,0.001
E-n76-k7,76,220,737.74,7.29,687.6,0.05,7.35,738.13,7,0.003
E-n76-k10,76,140,900.26,7.51,837.36,0.79,8.36,907.39,10,0.003
E-n76-k14,76,100,1073.43,4.55,1026.71,-1.75,2.72,1054.6,15,0.003
F-n45-k4,45,2010,739.02,1.99,724.57,0.00,1.99,739.02,4,0.001
F-n72-k4,72,30000,256.19,2.97,248.81,0.00,2.97,256.19,5,0.003
F-n135-k7,135,2210,1219.32,4.16,1170.65,0.00,4.16,1219.32,7,0.012
M-n101-k10,101,200,833.51,1.67,819.81,0.00,1.67,833.51,10,0.006
M-n121-k7,121,200,1068.14,2.2,1045.16,0.00,2.20,1068.14,7,0.009
P-n22-k8,22,3000,590.62,-1.8,601.42,-17.46,-18.94,487.51,6,0
P-n40-k5,40,140,518.37,12.27,461.73,0.00,12.27,518.37,5,0.001
P-n50-k10,50,100,734.32,4.97,699.56,-1.44,3.45,723.71,10,0.001
P-n55-k15,55,70,978.07,-1.35,991.48,-1.24,-2.58,965.9,16,0.002
P-n65-k10,65,130,851.67,6.9,796.67,0.00,6.90,851.67,10,0.002
P-n70-k10,70,135,896.86,8.05,830.02,0.00,8.05,896.86,11,0.003
P-n76-k4,76,350,689.13,15.2,598.22,-0.11,15.06,688.34,4,0.003
P-n76-k5,76,280,698.51,9.99,635.04,1.56,11.71,709.38,5,0.003
P-n101-k4,101,400,765.38,10.56,692.28,0.00,10.56,765.38,4,0.005
