Instance,alpha,# nodes,fleetSize,routeMaxCost,maxRouteCostFound,totalRouteCostFound, PJS Sol.,Time (s)
p2.2.k,0,21,2,22.50,22.31,44.56,205.00,0.000
p2.2.k,0.1,21,2,22.50,22.28,36.37,195.00,0.000
p2.2.k,0.2,21,2,22.50,22.28,36.37,195.00,0.000
p2.2.k,0.3,21,2,22.50,22.28,36.37,195.00,0.000
p2.2.k,0.4,21,2,22.50,22.28,36.37,195.00,0.000
p2.2.k,0.5,21,2,22.50,22.28,43.44,210.00,0.000
p2.2.k,0.6,21,2,22.50,22.28,44.03,255.00,0.000
p2.2.k,0.7,21,2,22.50,22.28,44.03,255.00,0.000
p2.2.k,0.8,21,2,22.50,22.28,44.03,255.00,0.000
p2.2.k,0.9,21,2,22.50,22.49,43.54,230.00,0.000
p2.2.k,1,21,2,22.50,22.49,43.96,250.00,0.000
p1.3.b,0,32,3,3.30,0.00,0.00,0.00,0.001
p1.3.b,0.1,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.2,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.3,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.4,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.5,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.6,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.7,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.8,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,0.9,32,3,3.30,0.00,0.00,0.00,0.000
p1.3.b,1,32,3,3.30,0.00,0.00,0.00,0.000
p4.4.b,0,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.1,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.2,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.3,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.4,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.5,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.6,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.7,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.8,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,0.9,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.b,1,100,4,15.00,0.00,0.00,0.00,0.006
p4.4.q,0,100,4,52.50,52.32,207.97,530.00,0.007
p4.4.q,0.1,100,4,52.50,52.47,205.33,552.00,0.008
p4.4.q,0.2,100,4,52.50,52.41,209.24,518.00,0.007
p4.4.q,0.3,100,4,52.50,52.18,207.23,665.00,0.007
p4.4.q,0.4,100,4,52.50,52.40,207.10,657.00,0.007
p4.4.q,0.5,100,4,52.50,52.38,199.48,683.00,0.007
p4.4.q,0.6,100,4,52.50,52.38,204.78,645.00,0.007
p4.4.q,0.7,100,4,52.50,52.27,205.97,640.00,0.006
p4.4.q,0.8,100,4,52.50,51.80,201.58,495.00,0.021
p4.4.q,0.9,100,4,52.50,52.43,194.63,578.00,0.007
p4.4.q,1,100,4,52.50,51.89,193.67,632.00,0.006
p6.3.j,0,64,3,20.00,19.89,59.49,552.00,0.003
p6.3.j,0.1,64,3,20.00,19.80,58.86,576.00,0.003
p6.3.j,0.2,64,3,20.00,19.80,58.86,576.00,0.003
p6.3.j,0.3,64,3,20.00,19.80,58.86,576.00,0.003
p6.3.j,0.4,64,3,20.00,19.80,58.86,582.00,0.003
p6.3.j,0.5,64,3,20.00,19.80,58.86,588.00,0.002
p6.3.j,0.6,64,3,20.00,19.80,58.86,588.00,0.003
p6.3.j,0.7,64,3,20.00,19.80,59.11,594.00,0.002
p6.3.j,0.8,64,3,20.00,19.80,59.11,594.00,0.002
p6.3.j,0.9,64,3,20.00,19.80,59.11,594.00,0.002
p6.3.j,1,64,3,20.00,19.80,59.08,588.00,0.002
p3.2.j,0,33,2,30.00,29.42,58.43,350.00,0.001
p3.2.j,0.1,33,2,30.00,29.91,58.77,350.00,0.001
p3.2.j,0.2,33,2,30.00,29.91,58.77,350.00,0.001
p3.2.j,0.3,33,2,30.00,29.91,58.77,350.00,0.001
p3.2.j,0.4,33,2,30.00,29.91,58.77,350.00,0.001
p3.2.j,0.5,33,2,30.00,29.50,58.70,380.00,0.001
p3.2.j,0.6,33,2,30.00,29.50,58.70,380.00,0.001
p3.2.j,0.7,33,2,30.00,29.66,58.73,360.00,0.001
p3.2.j,0.8,33,2,30.00,29.65,58.51,360.00,0.001
p3.2.j,0.9,33,2,30.00,29.64,58.64,380.00,0.001
p3.2.j,1,33,2,30.00,29.98,57.28,450.00,0.001
p3.4.a,0,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.1,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.2,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.3,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.4,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.5,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.6,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.7,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.8,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,0.9,33,4,3.80,0.00,0.00,0.00,0.001
p3.4.a,1,33,4,3.80,0.00,0.00,0.00,0.001
p7.4.p,0,102,4,80.00,79.59,314.98,545.00,0.007
p7.4.p,0.1,102,4,80.00,79.46,314.80,587.00,0.008
p7.4.p,0.2,102,4,80.00,79.46,315.15,602.00,0.007
p7.4.p,0.3,102,4,80.00,79.68,310.19,635.00,0.007
p7.4.p,0.4,102,4,80.00,79.94,317.64,633.00,0.007
p7.4.p,0.5,102,4,80.00,79.95,317.50,673.00,0.007
p7.4.p,0.6,102,4,80.00,79.95,319.10,604.00,0.007
